Region,Group,Dimension,Party,Vote_Pct_Regional
Scotland,Age 50-64,yg_age,Con,16.24
Scotland,Age 50-64,yg_age,Green,1.89
Scotland,Age 50-64,yg_age,IND,1.53
Scotland,Age 50-64,yg_age,LD,10.56
Scotland,Age 50-64,yg_age,Lab,31.32
Scotland,Age 50-64,yg_age,Reform,7.71
Scotland,Age 50-64,yg_age,SNP,30.75
Scotland,Age 65+,yg_age,Con,17.95
Scotland,Age 65+,yg_age,Green,1.72
Scotland,Age 65+,yg_age,IND,1.5
Scotland,Age 65+,yg_age,LD,13.26
Scotland,Age 65+,yg_age,Lab,28.15
Scotland,Age 65+,yg_age,Reform,7.59
Scotland,Age 65+,yg_age,SNP,29.82
Scotland,C2DE,ipsos_grade,Con,12.87
Scotland,C2DE,ipsos_grade,Green,3.26
Scotland,C2DE,ipsos_grade,IND,1.52
Scotland,C2DE,ipsos_grade,LD,6.94
Scotland,C2DE,ipsos_grade,Lab,35.71
Scotland,C2DE,ipsos_grade,Reform,7.98
Scotland,C2DE,ipsos_grade,SNP,31.71
Scotland,Degree,education,Con,20.17
Scotland,Degree,education,Green,6.05
Scotland,Degree,education,IND,1.5
Scotland,Degree,education,LD,3.55
Scotland,Degree,education,Lab,35.41
Scotland,Degree,education,Reform,4.55
Scotland,Degree,education,SNP,28.77
Scotland,Detached,housing,Con,12.91
Scotland,Detached,housing,Green,2.36
Scotland,Detached,housing,IND,1.53
Scotland,Detached,housing,LD,17.22
Scotland,Detached,housing,Lab,27.82
Scotland,Detached,housing,Reform,8.29
Scotland,Detached,housing,SNP,29.87
Scotland,Flat,housing,Con,11.75
Scotland,Flat,housing,Green,5.85
Scotland,Flat,housing,IND,1.55
Scotland,Flat,housing,LD,3.0
Scotland,Flat,housing,Lab,41.66
Scotland,Flat,housing,Reform,5.63
Scotland,Flat,housing,SNP,30.55
Scotland,Ipsos 18-34,ipsos_age,Con,2.67
Scotland,Ipsos 18-34,ipsos_age,Green,7.98
Scotland,Ipsos 18-34,ipsos_age,IND,1.51
Scotland,Ipsos 18-34,ipsos_age,LD,7.24
Scotland,Ipsos 18-34,ipsos_age,Lab,44.58
Scotland,Ipsos 18-34,ipsos_age,Reform,6.02
Scotland,Ipsos 18-34,ipsos_age,SNP,30.01
Scotland,Ipsos 35-54,ipsos_age,Con,13.77
Scotland,Ipsos 35-54,ipsos_age,Green,2.97
Scotland,Ipsos 35-54,ipsos_age,IND,1.51
Scotland,Ipsos 35-54,ipsos_age,LD,7.47
Scotland,Ipsos 35-54,ipsos_age,Lab,36.37
Scotland,Ipsos 35-54,ipsos_age,Reform,7.14
Scotland,Ipsos 35-54,ipsos_age,SNP,30.78
Scotland,Ipsos 55+,ipsos_age,Con,17.44
Scotland,Ipsos 55+,ipsos_age,Green,2.08
Scotland,Ipsos 55+,ipsos_age,IND,1.51
